OPEC announcements,,,,
Announcement day,Trading day,Decision,"Meeting classification: Ordinary (1), Extraordinary (2), Other (3)",Notes
7/19/83,7/19/83,0,1,68 Meeting
12/9/83,12/9/83,0,1,69 Meeting
7/11/84,7/11/84,0,1,70 Meeting
10/31/84,10/31/84,-1,2,71 Meeting (extraodrinary)
12/29/84,1/2/85,0,1,72 Meeting
1/30/85,1/30/85,0,2,73 Meeting (extraordinary)
7/7/85,7/8/85,0,3,Consultative Meeting
7/25/85,7/25/85,0,1,74 Meeting
10/4/85,10/4/85,0,2,75 Meeting (extraordinary)
12/9/85,12/9/85,0,1,76 Meeting
4/21/86,4/21/86,0,2,77 Meeting (extraordinary)
8/5/86,8/5/86,0,1,78 Meeting
10/22/86,10/22/86,-1,2,79 Meeting (extraordinary)
12/20/86,12/22/86,-1,1,80 Meeting
6/27/87,6/29/87,0,1,81 Meeting
12/14/87,12/14/87,-1,1,82 Meeting
6/14/88,6/14/88,0,1,83 Meeting
11/28/88,11/28/88,1,1,84 Meeting
6/7/89,6/7/89,1,1,85 Meeting
9/27/89,9/27/89,1,3,3 Meeting of the 8 Minister Monitoring Committee
11/28/89,11/28/89,1,1,86 Meeting
7/27/90,7/27/90,1,1,87 Meeting
12/13/90,12/13/90,0,1,88 Meeting
3/12/91,3/12/91,-1,3,3 Meeting of the Ministerial Monitoring Committee
6/4/91,6/4/91,0,1,89 Meeting
9/25/91,9/25/91,1,3,4 Meeting of the Ministerial Monitoring Committee
11/27/91,11/27/91,-1,1,90 Meeting
2/15/92,2/18/92,-1,3,6 Meeting of the Ministerial Monitoring Committee
5/22/92,5/26/92,1,1,91 Meeting
9/17/92,9/17/92,1,3,9 Meeting of the Ministerial Monitoring Committee
11/27/92,11/30/92,-1,1,92 Meeting
2/16/93,2/17/93,-1,3,10 Meeting of the Ministerial Monitoring Committee
6/10/93,6/10/93,0,1,93 Meeting
9/29/93,9/30/93,-1,2,94 Meeting (extraordinary)
11/24/93,11/29/93,0,1,95 Meeting
3/26/94,3/28/94,0,3,12 Meeting of the Ministerial Monitoring Committee
6/16/94,6/16/94,0,1,96 Meeting
11/22/94,11/22/94,0,1,97 Meeting
6/20/95,6/20/95,0,1,98 Meeting
11/22/95,11/22/95,0,1,99 Meeting
6/7/96,6/7/96,1,1,100 Meeting
11/28/96,12/2/96,0,1,101 Meeting
6/26/97,6/26/97,0,1,102 Meeting
12/1/97,12/1/97,1,1,103 Meeting
3/30/98,3/30/98,-1,2,104 Meeting (extraordinary)
6/24/98,6/24/98,-1,1,105 Meeting
11/26/98,11/30/98,0,1,106 Meeting
3/23/99,3/23/99,-1,1,107 Meeting
9/22/99,9/22/99,0,1,108 Meeting
3/29/00,3/29/00,1,1,109 Meeting
6/21/00,6/21/00,1,2,110 Meeting (extraordinary)
9/11/00,9/11/00,1,1,111 Meeting
11/13/00,11/13/00,0,2,112 Meeting (extraordinary)
1/17/01,1/17/01,-1,2,113 Meeting (extraordinary)
3/17/01,3/19/01,-1,1,114 Meeting
6/5/01,6/5/01,0,2,115 Meeting (extraordinary)
7/3/01,7/3/01,0,2,116 Meeting (extraordinary)
7/25/01,7/25/01,-1,3,OPEC Conference
9/27/01,9/27/01,0,1,117 Meeting
11/14/01,11/14/01,-1,2,118 Meeting (extraordinary)
12/28/01,12/28/01,-1,3,Consultative Meeting
3/15/02,3/15/02,0,1,119 Meeting
6/26/02,6/26/02,0,2,120 Meeting (extraordinary)
9/19/02,9/19/02,0,1,121 Meeting
12/12/02,12/12/02,-1,2,122 Meeting (extraordinary)
1/12/03,1/13/03,1,2,123 Meeting (extraordinary)
3/11/03,3/11/03,0,1,124 Meeting
4/24/03,4/24/03,-1,3,Consultative Meeting
6/11/03,6/11/03,0,2,125 Meeting (extraordinary)
7/31/03,7/31/03,0,2,126 Meeting (extraordinary)
9/24/03,9/24/03,-1,1,127 Meeting
12/4/03,12/4/03,0,2,128 Meeting (extraordinary)
2/10/04,2/10/04,-1,2,129 Meeting (extraordinary)
3/31/04,3/31/04,-1,1,130 Meeting
6/3/04,6/3/04,1,2,131 Meeting (extraordinary)
9/15/04,9/15/04,1,1,132 Meeting
12/10/04,12/10/04,-1,2,133 Meeting (extraordinary)
1/30/05,1/31/05,0,2,134 Meeting (extraordinary)
3/16/05,3/16/05,1,1,135 Meeting
6/15/05,6/15/05,1,1,136 Meeting
9/20/05,9/20/05,1,1,137 Meeting
12/12/05,12/12/05,0,2,138 Meeting (extraordinary)
1/31/06,1/31/06,0,2,139 Meeting (extraordinary)
3/8/06,3/8/06,0,1,140 Meeting
6/1/06,6/1/06,0,2,141 Meeting (extraordinary)
9/11/06,9/11/06,0,1,142 Meeting
10/20/06,10/20/06,-1,3,Consultative Meeting
12/14/06,12/14/06,-1,2,143 Meeting (extraordinary)
3/15/07,3/15/07,0,1,144 Meeting
9/11/07,9/11/07,1,1,145 Meeting
12/5/07,12/5/07,0,2,146 Meeting (extraordinary)
2/1/08,2/1/08,0,2,147 Meeting (extraordinary)
3/5/08,3/5/08,0,1,148 Meeting
9/10/08,9/10/08,0,1,149 Meeting
10/24/08,10/24/08,-1,2,150 Meeting (extraordinary)
12/17/08,12/17/08,-1,2,151 Meeting (extraordinary)
3/15/09,3/16/09,0,1,152 Meeting
5/28/09,5/28/09,0,2,153 Meeting (extraordinary)
9/10/09,9/10/09,0,1,154 Meeting
12/22/09,12/22/09,0,2,155 Meeting (extraordinary)
3/17/10,3/17/10,0,1,156 Meeting
10/14/10,10/14/10,0,1,157 Meeting
12/11/10,12/13/10,0,2,158 Meeting (extraordinary)
6/8/11,6/8/11,0,1,159 Meeting
12/14/11,12/14/11,1,1,160 Meeting
6/14/12,6/14/12,0,1,161 Meeting
12/12/12,12/12/12,0,1,162 Meeting
5/31/13,5/31/13,0,1,163 Meeting
12/4/13,12/4/13,0,1,164 Meeting
6/11/14,6/11/14,0,1,165 Meeting
11/27/14,11/28/14,0,1,166 Meeting
6/5/15,6/5/15,0,1,167 Meeting
12/4/15,12/4/15,0,1,168 Meeting
6/2/16,6/2/16,0,1,169 Meeting
9/28/16,9/29/16,-1,2,170 Meeting (extraordinary)
11/30/16,11/30/16,-1,1,171 Meeting
12/10/16,12/12/16,-1,3,OPEC and non-OPEC Ministerial Meeting
5/25/17,5/25/17,-1,1,172 Meeting
11/30/17,11/30/17,-1,1,173 Meeting